id,pref_name,city_name,district_name,built_year,structure,top_floor_num,room_type,price,area,latitude,longitude,nearest_station_id,dist_to_nearest_station
A00086,東京都,世田谷区,上馬２丁目,1996,ＲＣ,4,1R,3562.5312,20,35.63760785,139.664499,S00002,751.29
A00087,東京都,世田谷区,上馬２丁目,1993,鉄骨造,3,1R,3488.868,29,35.63752508,139.6635324,S00002,619.53
A00088,東京都,世田谷区,上馬２丁目,1985,ＲＣ,5,1R,3501.6504,22,35.63759005,139.6643811,S00002,775.71
A00089,東京都,世田谷区,上馬２丁目,1988,ＲＣ,3,1R,3376.0996,29,35.63800867,139.6653196,S00002,851.02
A00090,東京都,世田谷区,上馬２丁目,1970,ＲＣ,8,1R,3320.2007,30,35.63747346,139.6644281,S00002,760.86
A00091,東京都,世田谷区,上馬２丁目,2001,ＲＣ,7,1R,3658.349,21,35.63748978,139.6638221,S00002,675.79
A00092,東京都,世田谷区,上馬２丁目,1985,ＳＲＣ,11,1R,3395.6433,22,35.6378978,139.665593,S00002,817.88
A00093,東京都,世田谷区,上馬２丁目,1993,鉄骨造,2,1R,3526.944,29,35.63746757,139.6637809,S00002,591.94
A00094,東京都,世田谷区,上馬２丁目,1989,鉄骨造,3,1R,3375.6511,21,35.63755614,139.6646163,S00002,839.23
A00095,東京都,世田谷区,上馬２丁目,1999,ＳＲＣ,14,1R,3619.3945,25,35.63817344,139.6653938,S00002,875.39
A00096,東京都,世田谷区,上馬２丁目,1998,鉄骨造,3,1R,3551.5457,27,35.63745007,139.6645496,S00002,734.76
A00097,東京都,世田谷区,上馬２丁目,1997,ＳＲＣ,14,1R,3699.4468,24,35.63792181,139.6635825,S00002,628.43
A00098,東京都,世田谷区,野沢２丁目,1989,ＳＲＣ,10,1R,3616.814,27,35.63552035,139.6661484,S00002,520.46
A00099,東京都,世田谷区,野沢２丁目,1987,ＲＣ,3,1R,3479.46,27,35.63462318,139.6674735,S00002,673.06
A00100,東京都,世田谷区,野沢２丁目,1967,ＲＣ,4,1R,2984.6377,21,35.635135,139.6665619,S00002,574.93
A00101,東京都,世田谷区,野沢２丁目,1989,ＲＣ,5,1R,3450.9482,30,35.63451867,139.6683656,S00002,888.88
A00102,東京都,世田谷区,野沢２丁目,1993,ＲＣ,3,1R,3452.0537,24,35.63525218,139.6666057,S00002,770.51
A00103,東京都,世田谷区,野沢２丁目,2003,ＡＬＣ,3,1R,3627.3718,20,35.63558393,139.665961,S00002,518.4
A00104,東京都,世田谷区,野沢２丁目,1996,ＲＣ,3,1R,3562.578,25,35.634717,139.6677476,S00002,714.71
A00105,東京都,世田谷区,野沢２丁目,1976,ＲＣ,3,1R,3238.6313,24,35.63527716,139.6670434,S00002,797.84
A00106,東京都,世田谷区,野沢２丁目,1982,ＲＣ,3,1R,3472.3247,29,35.63543409,139.6658186,S00002,464.09
A00107,東京都,世田谷区,野沢２丁目,1975,ＲＣ,4,1R,3345.6587,22,35.63471872,139.6675586,S00002,708.14
A00108,東京都,世田谷区,野沢２丁目,1988,ＲＣ,3,1R,3462.1252,29,35.63538801,139.666276,S00002,544.33
A00109,東京都,世田谷区,上馬４丁目,1986,鉄骨造,4,1R,3570.0107,21,35.63571625,139.6623093,S00002,330.76
A00110,東京都,世田谷区,駒沢２丁目,1989,ＲＣ,4,1R,3331.015,23,35.6341119,139.6578704,S00002,552.26
A00111,東京都,世田谷区,駒沢２丁目,1989,ＳＲＣ,8,1R,3373.9912,25,35.63473706,139.6588693,S00002,420.3
A00112,東京都,世田谷区,深沢４丁目,1995,ＲＣ,3,1R,2995.3623,29,35.62209012,139.657054,S00002,1682.37
A00113,東京都,世田谷区,深沢４丁目,1986,ＲＣ,5,1R,3011.7708,23,35.62130055,139.6554299,S00002,1830.61
A00114,東京都,世田谷区,深沢４丁目,2007,ＲＣ,3,1R,3153.2717,30,35.62176683,139.6567585,S00002,1773.23
A00115,東京都,世田谷区,深沢４丁目,1994,ＲＣ,5,1R,3027.7922,20,35.62126232,139.655641,S00002,1842.43
A00116,東京都,世田谷区,深沢２丁目,2004,ＲＣ,14,1R,3400.6042,24,35.61977495,139.6611916,S00002,1874.83
A00117,東京都,世田谷区,深沢２丁目,1989,ＲＣ,2,1R,3284.2334,24,35.61941871,139.6626481,S00002,2003.17
A00118,東京都,世田谷区,深沢２丁目,1991,ＲＣ,3,1R,3309.7188,20,35.61944147,139.6624,S00002,1904.31
A00119,東京都,世田谷区,深沢２丁目,1989,鉄骨造,3,1R,2977.632,26,35.62128461,139.6600378,S00002,1633.09
A00120,東京都,世田谷区,深沢２丁目,1996,ＳＲＣ,9,1R,3378.43,28,35.62009719,139.6630967,S00002,1969.99
A00121,東京都,世田谷区,駒沢５丁目,2003,鉄骨造,3,1R,3067.2292,24,35.62315184,139.6553888,S00002,1636.99
A00122,東京都,世田谷区,駒沢５丁目,1987,ＲＣ,3,1R,2977.0396,28,35.62318932,139.6587701,S00002,1527.09
A00123,東京都,世田谷区,野沢３丁目,1988,鉄骨造,3,1R,3280.8884,21,35.63212002,139.6734382,S00002,1422.85
A00124,東京都,世田谷区,野沢３丁目,1991,ＲＣ,4,1R,3374.1611,28,35.6305724,139.6734459,S00002,1420.67
A00125,東京都,世田谷区,野沢３丁目,2005,ＲＣ,4,1R,3571.0286,29,35.62967456,139.6765715,S00002,1707.94
A00126,東京都,世田谷区,野沢３丁目,2006,ＲＣ,5,1R,3707.9568,28,35.63122727,139.6730502,S00002,1337.3
A00127,東京都,世田谷区,下馬６丁目,2005,ＡＬＣ,3,1R,3373.8474,22,35.62521514,139.6792358,S00002,2137.77
A00128,東京都,世田谷区,野沢２丁目,1985,鉄骨造,0,1R,3438.2341,20,35.63426141,139.6673492,S00002,663.51
A00129,東京都,世田谷区,野沢２丁目,2013,ＲＣ,5,1R,3755.8289,22,35.63291572,139.6714543,S00002,1151.4
A00130,東京都,世田谷区,上馬３丁目,1993,ＲＣ,3,1R,3634.617,22,35.63278175,139.6648252,S00002,492.53
A00131,東京都,世田谷区,駒沢１丁目,1987,ＲＣ,3,1R,3336.14,23,35.63060527,139.6607557,S00002,348.45
A00132,東京都,世田谷区,駒沢１丁目,2002,ＲＣ,4,1R,3452.8901,22,35.6306698,139.6599395,S00002,544.99
A00133,東京都,世田谷区,駒沢２丁目,1978,鉄骨造,3,1R,2921.647,29,35.63658445,139.658015,S00002,599.17
A00134,東京都,世田谷区,玉川３丁目,1984,ＲＣ,5,1R,3313.334,27,35.61483716,139.6265755,S00004,570.76
A00135,東京都,世田谷区,玉川３丁目,1986,ＲＣ,5,1R,3350.9365,24,35.61268813,139.6266828,S00004,264.14
A00136,東京都,世田谷区,玉川３丁目,1988,ＲＣ,6,1R,3338.8044,28,35.61373511,139.625325,S00004,351.43
A00137,東京都,世田谷区,玉川３丁目,1987,ＲＣ,5,1R,3304.979,21,35.61349497,139.624772,S00004,331.01
A00138,東京都,世田谷区,玉川３丁目,1993,ＲＣ,5,1R,3314.0603,29,35.61293044,139.6242613,S00004,253.52
A00139,東京都,世田谷区,玉川３丁目,1977,ＲＣ,5,1R,2966.1467,30,35.61382269,139.6255305,S00004,430.17
A00140,東京都,世田谷区,玉川３丁目,1985,ＲＣ,3,1R,3217.2231,22,35.61375201,139.624311,S00004,321.35
A00141,東京都,世田谷区,玉川３丁目,1998,ＲＣ,3,1R,3373.6572,27,35.61259222,139.6261578,S00004,143.15
A00142,東京都,世田谷区,玉川３丁目,1983,ＲＣ,5,1R,3312.5435,24,35.61258628,139.6265871,S00004,332.02
A00143,東京都,世田谷区,玉川３丁目,1990,ＲＣ,3,1R,3246.8384,23,35.61477224,139.6245742,S00004,497.56
A00144,東京都,世田谷区,瀬田１丁目,1993,ＲＣ,3,1R,3024.7742,22,35.61677047,139.6310657,S00004,1033.18
A00145,東京都,世田谷区,瀬田１丁目,1989,ＲＣ,3,1R,3247.1694,25,35.61348253,139.6311787,S00004,754.01
A00146,東京都,世田谷区,瀬田１丁目,1998,ＲＣ,5,1R,3197.159,25,35.6156778,139.6300689,S00004,1037.88
A00147,東京都,世田谷区,瀬田１丁目,2004,ＲＣ,5,1R,3566.91,21,35.61450193,139.6304547,S00004,701.8
A00148,東京都,世田谷区,瀬田１丁目,2006,ＲＣ,6,1R,3441.08,20,35.61506566,139.6302486,S00004,916.06
A00149,東京都,世田谷区,玉川２丁目,1999,ＲＣ,4,1R,3435.4622,28,35.61178557,139.6275141,S00004,207.19
A00150,東京都,世田谷区,玉川２丁目,1996,ＲＣ,5,1R,3384.086,24,35.61360184,139.627496,S00004,364.27
A00151,東京都,世田谷区,玉川２丁目,1977,ＲＣ,5,1R,2962.8462,20,35.61458173,139.6289342,S00004,544.44
A00152,東京都,世田谷区,玉川２丁目,2010,ＲＣ,3,1R,3441.125,20,35.61139477,139.6325094,S00004,798.82
A00153,東京都,世田谷区,玉川２丁目,2007,鉄骨造,3,1R,3421.731,21,35.61183622,139.6313554,S00004,729.95
A00154,東京都,世田谷区,玉川２丁目,2006,ＲＣ,4,1R,3649.4517,20,35.61246368,139.6271213,S00004,180.6
A00155,東京都,世田谷区,玉川２丁目,2000,ＲＣ,3,1R,3185.842,23,35.61262993,139.6320571,S00004,850.06
A00156,東京都,世田谷区,玉川２丁目,2003,ＲＣ,3,1R,3185.842,29,35.61269613,139.6314986,S00004,866.98
A00157,東京都,世田谷区,玉川２丁目,2005,ＲＣ,5,1R,3506.7146,21,35.61260098,139.6318817,S00004,773.75
A00158,東京都,世田谷区,玉川２丁目,1979,ＲＣ,5,1R,2756.0266,29,35.61163185,139.6326576,S00004,856.37
A00159,東京都,世田谷区,玉川２丁目,1999,ＡＬＣ,3,1R,3289.4485,23,35.61192434,139.631418,S00004,727.42
A00160,東京都,世田谷区,玉川２丁目,1986,ＲＣ,3,1R,3223.6587,27,35.61294095,139.6311781,S00004,722.03
A00161,東京都,世田谷区,玉川２丁目,1991,ＡＬＣ,3,1R,3122.0251,29,35.61277507,139.6310939,S00004,816.76
A00162,東京都,世田谷区,瀬田４丁目,1993,ＲＣ,3,1R,3044.36,23,35.61884207,139.626862,S00004,963.27
A00163,東京都,世田谷区,瀬田４丁目,1992,ＲＣ,4,1R,3064.292,24,35.6189296,139.6266649,S00004,984.91
A00164,東京都,世田谷区,瀬田４丁目,1970,ＳＲＣ,11,1R,2775.6436,24,35.61879379,139.6272454,S00004,898.61
A00165,東京都,世田谷区,瀬田４丁目,1995,ＲＣ,3,1R,3030.5278,21,35.620505,139.6266754,S00004,1096.11
A00166,東京都,世田谷区,瀬田４丁目,2000,ＲＣ,4,1R,3169.0447,21,35.61879036,139.6275331,S00004,965.58
A00167,東京都,世田谷区,瀬田４丁目,1995,ＲＣ,3,1R,3030.5278,26,35.61866204,139.6255275,S00004,991
A00168,東京都,世田谷区,瀬田４丁目,1987,ＲＣ,3,1R,2972.6467,22,35.61903395,139.6258711,S00004,1065.4
A00169,東京都,世田谷区,瀬田４丁目,1997,ＳＲＣ,9,1R,3157.3882,29,35.62025436,139.6263774,S00004,1200.33
A00170,東京都,世田谷区,瀬田４丁目,1994,ＲＣ,3,1R,3024.6594,28,35.61915817,139.6284492,S00004,1138.43
A00171,東京都,世田谷区,玉川４丁目,2002,ＲＣ,4,1R,3076.6353,27,35.61771191,139.6232934,S00004,1075.88
A00172,東京都,世田谷区,玉川４丁目,2007,ＲＣ,3,1R,3392.7878,28,35.61721236,139.6231028,S00004,766.11
A00173,東京都,世田谷区,玉川４丁目,1992,ＲＣ,3,1R,2984.5703,20,35.61867995,139.6241623,S00004,1030.19
A00174,東京都,世田谷区,玉川４丁目,1996,ＲＣ,4,1R,2998.111,28,35.61772258,139.6228189,S00004,988.41
A00175,東京都,世田谷区,玉川４丁目,1968,ＲＣ,4,1R,5291.678,27,35.6188827,139.6229627,S00004,1090.28
A00176,東京都,世田谷区,玉川４丁目,1981,ＲＣ,4,1R,2831.0117,29,35.61889596,139.62338,S00004,1010.37
A00177,東京都,世田谷区,玉川４丁目,1986,ＲＣ,4,1R,2971.8535,25,35.61794857,139.622148,S00004,950.76
A00178,東京都,世田谷区,玉川４丁目,2010,ＲＣ,3,1R,3175.3613,26,35.61839317,139.6240936,S00004,1014.02
A00179,東京都,世田谷区,玉川４丁目,1989,ＲＣ,5,1R,3002.313,23,35.61915789,139.6233502,S00004,1105.39
A00180,東京都,世田谷区,玉川４丁目,2007,ＲＣ,7,1R,3353.7258,29,35.61843464,139.6248734,S00004,996.96
A00181,東京都,世田谷区,玉川４丁目,1987,ＲＣ,3,1R,2926.6892,24,35.61865757,139.6239236,S00004,999.07
A00182,東京都,世田谷区,玉川４丁目,1987,鉄骨造,3,1R,2926.2407,27,35.61904902,139.6235315,S00004,1067.66
A00183,東京都,世田谷区,玉川４丁目,2005,ＲＣ,5,1R,3254.7832,27,35.61823658,139.6237057,S00004,973.1
A00184,東京都,世田谷区,玉川４丁目,2005,鉄骨造,3,1R,3126.8442,21,35.61845165,139.6243065,S00004,1039.38
A00185,東京都,世田谷区,玉川１丁目,2010,ＲＣ,28,1R,4020.3535,27,35.60784645,139.6314278,S00004,696.14
A00186,東京都,世田谷区,玉川１丁目,2010,ＲＣ,42,1R,4036.219,22,35.60887688,139.6301124,S00004,575.31
A00187,東京都,世田谷区,玉川１丁目,2011,ＲＣ,8,1R,3681.147,25,35.60978969,139.6291352,S00004,372.08
A00188,東京都,世田谷区,玉川１丁目,1979,ＲＣ,5,1R,2993.66,22,35.61072865,139.6305397,S00004,574.29
A00189,東京都,世田谷区,玉川１丁目,2010,ＲＣ,6,1R,3671.8906,27,35.61048045,139.6296441,S00004,429.08
A00190,東京都,世田谷区,玉川１丁目,1991,ＳＲＣ,5,1R,3369.0332,22,35.61006384,139.6292587,S00004,401.28
A00191,東京都,世田谷区,玉川１丁目,1989,ＲＣ,5,1R,3022.359,26,35.61091486,139.626503,S00004,0
A00192,東京都,世田谷区,玉川１丁目,1977,鉄骨造,5,1R,2993.2114,28,35.61049406,139.6307218,S00004,672.56
A00193,東京都,世田谷区,玉川１丁目,1990,ＲＣ,4,1R,3297.398,26,35.60835797,139.6308805,S00004,632.55
A00194,東京都,世田谷区,瀬田２丁目,1991,ＲＣ,4,1R,3086.6262,21,35.61768494,139.6306836,S00004,1109.55
A00195,東京都,世田谷区,瀬田２丁目,2003,ＲＣ,4,1R,3187.692,29,35.61795427,139.6306916,S00004,1084.39
A00196,東京都,世田谷区,瀬田２丁目,1986,ＲＣ,7,1R,3016.2185,23,35.61694192,139.6319914,S00004,1147.38
A00197,東京都,世田谷区,瀬田２丁目,2004,ＲＣ,8,1R,3259.5422,23,35.61679153,139.632037,S00004,1065.34
A00198,東京都,世田谷区,鎌田３丁目,1989,ＲＣ,4,1R,2899.7998,30,35.61845591,139.6179024,S00004,1147.6
A00199,東京都,世田谷区,鎌田３丁目,1997,ＲＣ,0,1R,2866.9333,24,35.62000743,139.6171653,S00004,1427.43
A00200,東京都,世田谷区,鎌田３丁目,2004,ＲＣ,4,1R,3089.0466,30,35.62049857,139.6160593,S00004,1489.57
A00201,東京都,世田谷区,鎌田３丁目,1994,ＲＣ,3,1R,2820.7405,29,35.62056808,139.6145525,S00004,1572.72
A00202,東京都,世田谷区,鎌田３丁目,2000,鉄骨造,5,1R,2966.276,27,35.61869859,139.6158479,S00004,1356.44
A00203,東京都,世田谷区,鎌田３丁目,1996,ＲＣ,3,1R,2808.9033,22,35.62241855,139.6148147,S00004,1704.6
A00204,東京都,世田谷区,鎌田３丁目,2006,鉄骨,2,1R,2981.3267,28,35.62060625,139.6164456,S00004,1545.56
A00205,東京都,世田谷区,鎌田３丁目,2005,ＲＣ,4,1R,3092.1257,21,35.6207216,139.6145361,S00004,1489.73
A00206,東京都,世田谷区,鎌田３丁目,1986,鉄骨造,0,1R,2747.6335,29,35.62162923,139.6131283,S00004,1695.81
A00207,東京都,世田谷区,鎌田３丁目,1984,ＲＣ,5,1R,2800.913,24,35.62338279,139.6137282,S00004,1864.12
A00208,東京都,世田谷区,鎌田３丁目,1989,ＲＣ,5,1R,2838.4832,30,35.62065677,139.615825,S00004,1529.83
A00209,東京都,世田谷区,鎌田３丁目,1996,ＲＣ,5,1R,2932.4917,23,35.6183495,139.6166653,S00004,1284.23
